Datum/Uhrzeit;Benutzer;Transponder-Nummer;Ort des Ereignisses;Ereignis;Details;;;;;;
18.03.2025 07:20;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
18.03.2025 07:15;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
18.03.2025 06:57;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
18.03.2025 06:29;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
18.03.2025 06:29;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
17.03.2025 18:11;Unknown;;Personal Tür;Security System;Scharf;;;;;;
17.03.2025 18:11;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
17.03.2025 18:07;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
17.03.2025 18:07;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
17.03.2025 18:06;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
17.03.2025 17:54;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
17.03.2025 17:54;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
17.03.2025 17:50;Unknown;;Personal Tür;Security System;Scharf;;;;;;
17.03.2025 17:50;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
17.03.2025 17:44;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
17.03.2025 17:07;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
17.03.2025 17:02;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
17.03.2025 07:25;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
17.03.2025 07:21;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
17.03.2025 07:21;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
17.03.2025 06:56;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
17.03.2025 06:25;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
17.03.2025 06:25;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
16.03.2025 01:59;Unknown;;Personal Tür;ACU ist on-line;;;;;;;
14.03.2025 13:42;Unknown;;Personal Tür;Security System;Scharf;;;;;;
14.03.2025 13:42;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
14.03.2025 12:15;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
14.03.2025 11:49;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
14.03.2025 07:26;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
14.03.2025 06:40;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
14.03.2025 06:33;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
14.03.2025 06:32;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
14.03.2025 06:32;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
13.03.2025 17:51;Unknown;;Personal Tür;Security System;Scharf;;;;;;
13.03.2025 17:50;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
13.03.2025 17:07;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
13.03.2025 17:00;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
13.03.2025 16:59;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
13.03.2025 16:58;4, Person;3333333;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
13.03.2025 16:57;4, Person;3333333;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
13.03.2025 13:41;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
13.03.2025 11:27;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
13.03.2025 07:32;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
13.03.2025 07:25;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
13.03.2025 06:56;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
13.03.2025 06:34;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
13.03.2025 06:34;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
12.03.2025 18:00;Unknown;;Personal Tür;Security System;Scharf;;;;;;
12.03.2025 18:00;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
12.03.2025 17:15;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
12.03.2025 17:01;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
12.03.2025 07:29;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
12.03.2025 06:59;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
12.03.2025 06:27;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
12.03.2025 06:27;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
11.03.2025 18:05;Unknown;;Personal Tür;Security System;Scharf;;;;;;
11.03.2025 18:04;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
11.03.2025 17:56;4, Person;3333333;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
11.03.2025 17:22;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
11.03.2025 17:02;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
11.03.2025 07:43;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
11.03.2025 06:55;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
11.03.2025 06:27;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
11.03.2025 06:27;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
10.03.2025 17:56;Unknown;;Personal Tür;Security System;Scharf;;;;;;
10.03.2025 17:56;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
10.03.2025 17:56;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
10.03.2025 17:44;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
10.03.2025 17:03;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
10.03.2025 07:37;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
10.03.2025 06:58;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
10.03.2025 06:30;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
10.03.2025 06:30;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
08.03.2025 12:37;Unknown;;Personal Tür;Security System;Scharf;;;;;;
08.03.2025 12:36;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
08.03.2025 09:37;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
08.03.2025 09:37;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
07.03.2025 15:12;Unknown;;Personal Tür;Security System;Scharf;;;;;;
07.03.2025 15:12;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
07.03.2025 14:18;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
07.03.2025 13:27;3, Person;4444444;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
07.03.2025 12:03;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
07.03.2025 06:41;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
07.03.2025 06:27;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
07.03.2025 06:27;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
06.03.2025 18:12;Unknown;;Personal Tür;Security System;Scharf;;;;;;
06.03.2025 18:12;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
06.03.2025 17:48;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
